dataset,L,K,point_precision,point_recall,point_f1,candidate_size,exact_r25_candidate_size,candidate_to_true_ratio,candidate_expansion_ratio,query_time_ms,mean_hamming_threshold
cifar10_gist512,20,32,0.5018327793046459,0.27855555555555556,0.34480109578472967,238.575,450.0,0.5301666666666667,0.5301666666666667,20.97669172499792,7.812202380952381
cifar10_gist512,20,34,0.5101717731531205,0.27111111111111114,0.3384343305414068,230.2,450.0,0.5115555555555555,0.5115555555555555,20.14893015000041,8.448958333333334
cifar10_gist512,20,36,0.5084421646917552,0.34911111111111115,0.40282410554086256,301.7,450.0,0.6704444444444444,0.6704444444444444,20.644855249997818,9.778869047619049
cifar10_gist512,20,38,0.5240703644391187,0.33216666666666667,0.39331967936290474,278.95,450.0,0.6198888888888889,0.6198888888888889,21.336567749997926,10.479613095238095
cifar10_gist512,20,40,0.4938612489680315,0.41200000000000003,0.43990077774611114,370.275,450.0,0.8228333333333333,0.8228333333333333,21.565664449997257,11.82514880952381
cifar10_gist512,20,42,0.4535435078672889,0.5493888888888889,0.49070403444897187,544.525,450.0,1.2100555555555554,1.2100555555555554,22.259171950003065,13.348363095238096
cifar10_gist512,20,44,0.4593041511860524,0.5398888888888889,0.48859157435154177,527.1,450.0,1.1713333333333333,1.1713333333333333,22.40284477500154,14.421726190476189
cifar10_gist512,20,46,0.42514112522218594,0.654888888888889,0.5124055301741579,691.7,450.0,1.5371111111111113,1.5371111111111113,23.241643699996928,15.944791666666669
cifar10_gist512,20,48,0.3747717964350122,0.7912777777777779,0.5068720244596117,952.975,450.0,2.1177222222222225,2.1177222222222225,23.865226125001016,17.845386904761902
cifar10_gist512,20,50,0.3222132112652811,0.9139444444444444,0.47585474647304293,1281.425,450.0,2.847611111111111,2.847611111111111,24.74509802499938,20.47425595238095
cifar10_gist512,20,52,0.36015429846934066,0.8386666666666667,0.5027395965904959,1053.525,450.0,2.341166666666667,2.341166666666667,24.322744800002738,20.11235119047619
cifar10_gist512,20,54,0.40059653961281255,0.7319444444444445,0.5150300414353397,823.225,450.0,1.829388888888889,1.829388888888889,24.979261275002784,19.738690476190477
cifar10_gist512,20,56,0.44000316593726574,0.6223888888888889,0.5107337002543324,634.275,450.0,1.4095,1.4095,25.02568750000478,19.849553571428572
cifar10_gist512,20,58,0.48056342796665846,0.5225,0.4924096280245346,485.375,450.0,1.0786111111111112,1.0786111111111112,24.87758137499725,19.76517857142857
cifar10_gist512,20,60,0.5133498476949827,0.4321666666666667,0.4557732598746986,374.9,450.0,0.8331111111111109,0.8331111111111109,25.94102707500099,19.740178571428572
cifar10_gist512,20,62,0.5448113280242882,0.36327777777777776,0.4172290500628469,295.05,450.0,0.6556666666666666,0.6556666666666666,27.048607225005128,19.73705357142857
cifar10_gist512,20,64,0.5789791229369607,0.3016111111111111,0.37189246857976155,231.425,450.0,0.5142777777777777,0.5142777777777777,26.254902124998125,19.751636904761902
cifar10_gist512,20,66,0.6038946857900145,0.2572222222222222,0.33271029750041936,187.825,450.0,0.4173888888888889,0.4173888888888889,27.85307070000016,19.770833333333332
cifar10_gist512,20,68,0.6298229095649532,0.2227222222222222,0.2979789894989745,155.225,450.0,0.3449444444444444,0.3449444444444444,31.151118725000515,19.81502976190476
cifar10_gist512,20,70,0.6525785510929689,0.18872222222222224,0.26008612461543273,125.125,450.0,0.27805555555555556,0.27805555555555556,27.682655174997706,19.83422619047619
cifar10_gist512,20,72,0.6836108545709211,0.16311111111111112,0.23094557492027595,102.825,450.0,0.2285,0.2285,32.46559064999417,19.87485119047619
cifar10_gist512,20,74,0.7198403029736633,0.13744444444444442,0.1994028522789743,82.4,450.0,0.18311111111111109,0.18311111111111109,27.804123900000377,19.64270833333333
cifar10_gist512,20,76,0.7407103605208023,0.11933333333333333,0.17269540831569946,69.2,450.0,0.15377777777777776,0.15377777777777776,34.01036250000544,19.698363095238097
cifar10_gist512,20,78,0.8130976124576245,0.07994444444444444,0.1183155090079175,42.875,450.0,0.09527777777777777,0.09527777777777777,28.925922874996957,19.03467261904762
cifar10_gist512,20,80,0.8170246286858024,0.06961111111111111,0.10355561690089583,36.375,450.0,0.08083333333333334,0.08083333333333334,29.391609425007914,19.070089285714285
cifar10_gist512,20,82,0.7782932450772552,0.058777777777777776,0.08735893366358238,29.75,450.0,0.06611111111111109,0.06611111111111109,30.147463474996528,18.84940476190476
cifar10_gist512,20,84,0.7312613553888525,0.05422222222222223,0.07838673451984515,27.475,450.0,0.06105555555555555,0.06105555555555555,30.849260450000315,18.913839285714285
cifar10_gist512,20,86,0.6773800136911687,0.04716666666666667,0.0682258721379666,23.625,450.0,0.052500000000000005,0.052500000000000005,30.63897074999886,18.97782738095238
cifar10_gist512,20,88,0.6702281815843868,0.041833333333333333,0.06047064397470545,20.4,450.0,0.04533333333333334,0.04533333333333334,30.440112425004884,18.817559523809525
cifar10_gist512,20,90,0.5698507383411406,0.03188888888888889,0.04602607187526266,15.05,450.0,0.03344444444444444,0.03344444444444444,30.669005200005017,18.050744047619048
cifar10_gist512,20,92,0.4772563927342965,0.029333333333333333,0.04244329694704318,13.7,450.0,0.03044444444444445,0.03044444444444445,31.099075974999835,17.88363095238095
